timestamp_iso,source,ecg1,ecg2,spo2_wave,resp_wave,heart_rate,systolic,diastolic,mean_pressure,pulse_rate,spo2,respiration_rate,temperature1,temperature2,cuff_pressure,raw_hex
2026-09-03T17:55:02.936Z,simulation,0.00020,-0.00008,0.28887,0.00000,72,120,78,92,72,98,16,36.7,36.9,0,
2026-09-03T17:55:02.955Z,simulation,-0.00298,0.01072,0.39674,0.00000,72,120,78,92,72,98,16,36.7,36.9,0,
2026-09-03T17:55:02.974Z,simulation,0.00979,0.00231,0.53048,0.06697,72,120,78,92,72,98,16,36.7,36.9,0,
2026-09-03T17:55:02.995Z,simulation,0.01687,0.02011,0.67664,0.00000,72,120,78,92,72,98,16,36.7,36.9,0,
2026-09-03T17:55:03.015Z,simulation,0.03047,0.05126,0.81323,0.13364,72,120,78,92,72,98,16,36.7,36.9,0,
2026-09-03T17:55:03.035Z,simulation,0.06937,0.09167,0.91460,0.00000,72,120,78,92,72,98,16,36.7,36.9,0,
2026-09-03T17:55:03.055Z,simulation,0.11246,0.10700,0.95909,0.19971,72,120,78,92,72,98,16,36.7,36.9,0,
2026-09-03T17:55:03.075Z,simulation,0.12298,0.07799,0.93664,0.00000,72,120,78,92,72,98,16,36.7,36.9,0,
2026-09-03T17:55:03.095Z,simulation,0.08093,0.04609,0.85249,0.26488,72,120,78,92,72,98,16,36.7,36.9,0,
2026-09-03T17:55:03.115Z,simulation,0.03947,0.00984,0.72531,0.00000,72,120,78,92,72,98,16,36.7,36.9,0,
2026-09-03T17:55:03.135Z,simulation,0.02689,0.01300,0.58070,0.32887,72,120,78,92,72,98,16,36.7,36.9,0,
2026-09-03T17:55:03.155Z,simulation,0.00699,0.00134,0.44317,0.00000,72,120,78,92,72,98,16,36.7,36.9,0,
2026-09-03T17:55:03.175Z,simulation,0.00900,-0.00249,0.32994,0.39137,72,120,78,92,72,98,16,36.7,36.9,0,
2026-09-03T17:55:03.195Z,simulation,0.00764,-0.10646,0.24743,0.00000,72,120,78,92,72,98,16,36.7,36.9,0,
2026-09-03T17:55:03.215Z,simulation,-0.14625,0.01919,0.18861,0.45212,72,120,78,92,72,98,16,36.7,36.9,0,
2026-09-03T17:55:03.236Z,simulation,0.08866,0.88834,0.13684,0.00000,72,120,78,92,72,98,16,36.7,36.9,0,
2026-09-03T17:55:03.255Z,simulation,1.08076,-0.13979,0.09138,0.51084,72,120,78,92,72,98,16,36.7,36.9,0,
2026-09-03T17:55:03.275Z,simulation,-0.25177,-0.14796,0.08697,0.00000,72,120,78,92,72,98,16,36.7,36.9,0,
2026-09-03T17:55:03.295Z,simulation,-0.16585,0.01331,0.14617,0.56727,72,120,78,92,72,98,16,36.7,36.9,0,
2026-09-03T17:55:03.315Z,simulation,0.01355,0.03320,0.23187,0.00000,72,120,78,92,72,98,16,36.7,36.9,0,
2026-09-03T17:55:03.335Z,simulation,0.02750,0.03315,0.29514,0.62115,72,120,78,92,72,98,16,36.7,36.9,0,
2026-09-03T17:55:03.355Z,simulation,0.05997,0.06991,0.32435,0.00000,72,120,78,92,72,98,16,36.7,36.9,0,
2026-09-03T17:55:03.375Z,simulation,0.08009,0.11386,0.32826,0.67224,72,120,78,92,72,98,16,36.7,36.9,0,
2026-09-03T17:55:03.395Z,simulation,0.15126,0.17343,0.31414,0.00000,72,120,78,92,72,98,16,36.7,36.9,0,
